,Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
82,Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4877
83,Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
84,Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
85,Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,9499
86,Vivo,Y22,128,4,8,4000,720 x 1612,Android,6.5,7390
87,Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8999
88,Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
89,Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
90,Apple,iphone 14,128,6,12,3000,1170x2532,iOS,6.1,35999
91,Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
92,Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
93,Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
94,Xiaomi,Redmi 10C,128,4,5,4000,(720 x 1650),Android,6.4,5349
95,Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
96,iKU,A6,32,1,2,2000,,Android,5.4,2600
97,Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4499
98,Nokia,Nokia C1 2E,16,1,5,2000,720 x 1440 pixels,Android,5.4,2099
99,Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
100,Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,17999
101,Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,54999
102,Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
103,Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2799
104,Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
105,Vivo,Y36,128,8,16,4000,1080 x 2388,Android,6.6,8790
106,realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
107,Nokia,Nokia 130,Less,Less,Unidentified,,128 x 160 pixels,,1.8,1019
108,Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
109,Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4599
110,Nokia,G21,128,4,8,5000,720 x 1600,Android,6.5,5649
111,Oppo,A77,128,4,8,4000,1612 x 720,,6.5,6666
112,Huawei,nova 11i,128,8,16,4000,1080 x 2388,EMUI,6.8,12499
113,Oppo,Reno 8T,256,8,32,4000,2412x1080,Android,6.7,13699
114,Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
115,Xiaomi,Redmi 10A,64,3,5,4000,720 × 1600,Android,6.5,4599
116,Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
117,Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,17499
118,Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
119,Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8519
120,Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
121,realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
122,Samsung,A24,128,4,13,4000,1080 x 2340,Android,6.5,7099
123,Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
124,Oppo,Reno 8T,256,8,32,4000,1080 x 2412 ,Android,6.7,14684
125,realme,Narzo 50i,32,2,5,4000,720 x 1600,Android,6.5,3599
