Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,17999
Oppo,A77,128,4,8,4000,720 x 1612,Android,6.5,6666
Huawei,nova Y91,256,8,8,6001-7000mAh,1080 x 2376,EMUI,6.9,11229
Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,30499
Oppo,A55,64,4,16,4000,720 x 1600 pixels,Android,6.5,5999
Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
Huawei,Nova Y61,64,4,5,4000,720X1600,EMUI,6.5,5200
Samsung,Galaxy A04,64,4,5,4000,720 x 1600,Android,6.5,5249
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4877
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,9499
Vivo,Y22,128,4,8,4000,720 x 1612,Android,6.5,7390
Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8999
Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
Apple,iphone 14,128,6,12,3000,1170x2532,iOS,6.1,35999
Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
Xiaomi,Redmi 10C,128,4,5,4000,(720 x 1650),Android,6.4,5349
Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
iKU,A6,32,1,2,2000,,Android,5.4,2600
Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4499
Nokia,Nokia C1 2E,16,1,5,2000,720 x 1440 pixels,Android,5.4,2099
Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
