Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
Oppo,A76,128,4,8,4000,720 x 1612,Android,6.5,6095
Samsung,Samsung Galaxy Z Flip5,512,8,10,3000,1080 x 2640,Android,6.7,59999
Samsung,Galaxy Z Fold 5,256,12,10,4000,1812 x 2176,Android,7.6,73500
Samsung,Galaxy Z Fold 5,256,12,10,4000,1812 x 2176,Android,7.6,73500
Samsung,Galaxy Z Fold 5,512,12,10,4000,1812 x 2176,Android,7.6,80000
Nokia,110,Less,Less,Not,Below,,,1.7,699
Apple,iPhone 14,128,6,12,3000,1170 x 2532,iOS,6.1,34999
Darago,D1000,Less,Less,Not,4000,,Proprietary,2.8,1099
Samsung,A34,128,8,13,4000,1080 x 2340,Android,6.6,10100
realme,C53,128,6,8,4000,1080 x 2400,Android,6.7,6659
Samsung,Galaxy A13,128,4,8,4000,1080 x 2408,Android,6.6,6000
Samsung,Galaxy M52,128,8,32,5000,1080 X 2400,Android,6.7,11699
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,23500
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,23350
realme,C55,128,6,8,4000,1080 x 2400,Android,6.72,7999
Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080 x 2400,Android,6.67,15700
Infinix,Smart 6,64,3,5,4000,720 x 1600,Android,6.6,3699
Oppo,Reno 8T,256,8GB,32,4000,1080 x 2412 ,Android,6.7,15999
Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,8690
Xiaomi,Redmi 12 4G,128,8,8,4000,1080 x 2460,Android,6.7,7349
Benco,V90,128,4,8,4000,720 x 1640,Android,6.8,3970
Benco,V70,64,2,8,4000,720 x 1600,Android,6.5,2899
Benco,V62,32,2,5,3000,720×1600,Android,6.1,2439
Benco,V90,128,4,8,4000,720 x 1640,Android,6.8,3970
Benco,V70,64,2,8,4000,720 x 1600,Android,6.5,2899
Benco,V62,32,2,5,3000,720×1600,Android,6.1,2439
Infinix,Hot 30i,128,8,8,4000,720 x 1612,Android,6.6,5950
Oppo,A16K,32,3,5,4000,720 x 1600,Android,6.5,4199
Samsung,Galaxy A53,256,8,32,4000,1080 x 2400,Android,6.5,14900
Xiaomi,Redmi 10A,64,3,5,4000,720 x 1600,Android,6.5,4520
Vivo,Y1s,32,2,5,4000,720 x 1520,Android,6.2,3499
Samsung,Galaxy S23 Ultra,256,12,12,4000,1440 x 3088,Android,6.8,51499
Samsung,A03 Core,32,2,5,4000,720 x 1600 pixels,Android,6.5,3699
Samsung,Galaxy A13,128,4,8,4000,(1080 x 2408),Android,6.6,5799
Samsung,Galaxy A13,64,4,8,4000,(1080 x 2408),Android,6.6,6199
realme,C25Y,64,4,8,4000,1620x1080,Android,6.5,4999
realme,9i,128,4,16,4000,1080 x 2412,Android,6.6,6599
Apple,Iphone 14 Pro,128,6,12,3000,1179 x 2556,iOS,6.1,47999
Infinix,Hot 20i,64,4,8,4000,720 x 1612,Android,6.6,4360
Samsung,Galaxy A13,64,4,8,4000,(1080 x 2408),Android,6.6,5199
Samsung,Galaxy A13,128,4,8,4000,(1080 x 2408),Android,6.6,6020
realme,C25Y,64,4,8,4000,720 x 1600 pixels,Android,6.5,4399
Vivo,Y22,64,4,8,4000,720 x 1612,Android,6.5,5999
Oppo,A55,64,4,16,4000,720 x 1600 pixels,Android,6.5,5650
Samsung,Galaxy A23,128,4,8,4000,(1080 x 2408),Android,6.6,6600
Xiaomi,Redmi 10C,128,4,5,4000,(720 x 1650),Android,6.4,7481
realme,C21Y,64,4,5,4000,720 x 1600,Android,6.5,4480
Oppo,Reno 6,128,8,32,,,Android,6.4,15624
realme,9i,128,6,16,,,Android,6.6,8531
Xiaomi,Poco C40,32,3,5,5000,720 x 1650,Android,6.7,4399
Samsung,Galaxy A13,128,4,8,4000,1080 x 2408,Android,6.6,7124
realme,C31,32,3,5.1,4000,720 x 1600,Android,6.5,3700
Samsung,Galaxy A23,128,6,8,4000,1080 x 2408,Android,6.6,7450
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Vivo,V25e,128,8,32,4000,1080 x 2404 pixels,Android,6.4,12075
Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,28500
Samsung,Galaxy A23,128,6,8,4000,1080 x 2408,Android,6.6,7799
Xiaomi,Poco X5 Pro,256,8,16,4000,1080 x 2400,Android,6.6,15199
Infinix,Hot 20i,128,4,8,4000,720 x 1612,Android,6.6,4690
Infinix,Hot 20i,64,4,8,4000,720 x 1612,Android,6.6,4123
Xiaomi,Redmi 10A,128,4,5,4000,720 x 1600,Android,6.5,5550
Samsung,Galaxy S23 Ultra,256,12,12,4000,1440 x 3088 pixels,Android,6.8,50000
Xiaomi,Redmi 10A,64,4,5,5000,720 x 1600,Android,6.5,4699
Xiaomi,Redmi 10A,64,4,5,5000,720x1600,Android,6.5,4699
realme,Narzo 50A,128,4,8,5000,720 x 1600,Android,6.5,5052
Nokia,130,Less,,Not,1000,,,1.8,690
Xiaomi,Redmi A2 Plus,32,2,5,4000,720 x 1600,Android,6.5,3589
realme,C25Y,128,4,8,4000,720 x 1600 pixels,Android,6.5,4955
Xiaomi,Redmi Note 11,128,6,13,4000,1080 x 2400,Android,6.4,7999
Xiaomi,Redmi Note 10s,128,6,13,4000,2400x1080,Android,6.4,7800
HTC,none,64,4,16,2000,,Nougat,5.7,12499
Lenovo,none,16,2,5,3000,,Lollipop,5,1699
Tecno,none,16,1,5,2000,,,5.5,1815
Xtouch,none,16,2,,,,,5.5,1999
Samsung,none,16,3,13,3000,,,5.2,3999
iKU,S2,32,Less,Unidentified,,,,1.8,580
Apple,iPhone Xs,256,4,7,2000,1125 x 2436 ,iOS,5.8,19900
Nokia,Nokia 105,Less,Less,Unidentified,Below,,,1.8,799
Nokia,Nokia 106,Less,Less,Unidentified,Below,120 x 160 pixels,,1.8,899
Apple,iPhone 11,64,4,12,3000,1792 × 828,iOS,6.1,23000
Oppo,A55,128,4,16,4000,720 x 1600 pixels,Android,6.5,5699
Apple,iPhone XR,128,3,7,2000,828 x 1792,iOS,6.1,21500
iTel,it2160,512,256,Not,,,,1.7,540
iTel,it2160,512,256,Not,,,,1.7,540
Mtouch,A600,Less,Less,Not,Below,,Proprietary,2.4,799
Darago,D1,Less,Less,Not,1000,,,1.7,550
Darago,D1,Less,Less,Not,1000,,,1.7,550
Mtouch,A600,Less,Less,Not,Below,,Proprietary,2.4,799
Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3750
Apple,iPhone 12,64,4,12,2000,1170 x 2532,iOS,6.1,27500
Apple,iPhone 12 Pro Max,256,6,12,3000,1284 x 2778,iOS,6.7,43500
Apple,iPhone 12 Pro Max,256,6,12,3000,1284 x 2778,iOS,6.7,43500
Apple,iPhone 12 Pro Max,512,6,12,3000,1284 x 2778,iOS,6.7,50000
Apple,iPhone 12 Pro Max,256,6,12,3000,1284 x 2778,iOS,6.7,44000
Samsung,S21,128,8,10,3000,,Android,6.2,22700
Samsung,Galaxy A52,256,8,32,4000,1080 x 2400,Android,6.5,19999
Samsung,Galaxy A52,128,8,32,4000,1080 x 2400,Android,6.5,16500
Samsung,Galaxy A52,128,8,32,4000,1080 x 2400,Android,6.5,15999
Samsung,Galaxy A52,256,8,32,4000,1080 x 2400,Android,6.5,18124
Xiaomi,Redmi Note 10 Pro,128,8,16,5000,,Android,6.6,9499
Nokia,110,Less,Less,Not,Below,,,1.7,950
Vivo,Y1s,32,2,5,4000,,Android,6.2,3499
Apple,MY2H2,128,6,7,3000,,iOS,12.9,43000
Oppo,A74,128,6,16,4000,1080 x 2400,Android,6.4,10069
LAVA,E10,512,256,Not,1000,,,1.8,450
Darago,F50,Unidentified,,Unidentified,Below,,,1.7,1400
Xiaomi,Redmi Note 10s,128,6,13,4000,2400x1080,Android,6.4,8444
realme,Realme 8,128,8,16,4000,Resolution 1080 x 2400 Pixel,Android,6.4,8499
Vivo,Y53s,128,8,16,4000,,Android,6.5,8299
Samsung,Galaxy Z Fold 3,256,12,4,4000,1768 x 2208,Android,7.6,44999
Xiaomi,Redmi 10,128,6,8,4000,1080 x 2400,Android,6.5,7320
Xiaomi,Redmi 10,128,6,8,4000,1080 x 2400,Android,6.5,9681
Xiaomi,Redmi 10,128,4,8,4000,1080 x 2400,Android,6.5,7029
Xiaomi,Redmi 10,128,4,8,4000,1080 x 2400,Android,6.5,9161
Apple,iPhone 13 Pro Max,128,6,12,4000,1284x2778,iOS,6.7,47000
Samsung,Galaxy A03s,64,4,5,4000,720 x 1600,Android,6.5,4927
Apple,iPhone 13 Pro Max,256,,12,4000,1284x2778,iOS,6.7,51000
Apple,iPhone 13 Pro Max,256,,12,4000,1284x2778,iOS,6.7,51000
Apple,iPhone 13 Pro Max,256,,12,4000,1284x2778,iOS,6.7,51000
Apple,iPhone 13 Pro Max,128,,12,4000,1284x2778,iOS,6.7,50000
Apple,iPhone 13 Pro Max,128,,12,4000,1284x2778,iOS,6.7,51000
Samsung,Galaxy A03s,64,4,5,4000,720 x 1600,Android,6.5,5699
Apple,iPhone 13 Pro,256,,12,3000,1170 x 2532,iOS,6.1,47999
Apple,iPhone 13 Pro,256,,12,3000,1170 x 2532,iOS,6.1,45000
Apple,iPhone 13 Pro,128,,12,3000,1170 x 2532,iOS,6.1,44000
Apple,iPhone 13 Pro,128,,12,3000,1170 x 2532,iOS,6.1,43999
Apple,iPhone 13 Pro,128,,12,3000,1170 x 2532,iOS,6.1,44000
Apple,iPhone 13 Pro,128,,12,3000,1170 x 2532,iOS,6.1,44000
Nokia,Nokia G10,64,4,8,5000,,Android,6.5,5690
Nokia,Nokia G20 TA,128,4,8,5000,,Android,6.5,5499
LAVA,E5,Unidentified,,Unidentified,1000,HD,,1.7,440
Nokia,Nokia C1 2E,16,1,5,2000,720 x 1440 pixels,Android,5.4,1995
Infinix,Hot 11,64,4,8,5000,1080 x 2408 pixels,Android,6.6,5299
Infinix,Hot 11,64,4,8,5000,1080 x 2408 pixels,Android,6.6,4888
realme,C25s,128,4,8,5000,720 x 1600 pixels,Android,6.5,5297
realme,C25s,128,4,8,5000,720 x 1600 pixels,Android,6.5,5297
Nokia,5310,Less,Less,Not,1000,,,2.4,1799
Nokia,125,Less,Less,Not,1000,240 x 320,,2.4,1340
Oppo,A16,32,3,8,4000,720 x 1600,Android,6.5,4777
Apple,iphone 11,64,4,12,3000,828x1792 pixels,iOS,6.1,23500
Apple,iPhone 11,128,4,12,3000,828x1792 pixels,iOS,6.1,23500
Apple,iPhone 11,128,4,12,3000,828x1792 pixels,iOS,6.1,23500
Apple,iPhone 11,128,4,12,3000,828x1792 pixels,iOS,6.1,23000
Apple,iPhone 11,64,4,12,3000,828x1792 pixels,iOS,6.1,23500
Apple,iPhone 12,128,4,12,2000,1170x2532,iOS,6.1,28500
Apple,iPhone 11,128,4,12,3000,828x1792 pixels,iOS,6.1,23500
Apple,iPhone 11,128,4,12,3000,828x1792 pixels,iOS,6.1,23500
Apple,iPhone 11,128,4,12,3000,828x1792 pixels,iOS,6.1,23500
Apple,iPhone 11,128,4,12,3000,828x1792 pixels,iOS,6.1,23000
Apple,iPhone 11,64,4,12,3000,828x1792 pixels,iOS,6.1,23500
Samsung,Samsung Galaxy S21 FE,128,8,32,4000,,Android,6.4,21500
Samsung,Samsung Galaxy S21 FE,128,8,32,4000,,Android,6.4,22000
Samsung,Samsung Galaxy S21 FE,128,8,32,4000,,Android,6.4,21999
Samsung,Samsung Galaxy S21 FE,128,8,32,4000,,Android,6.4,20000
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33000
Apple,iPhone 13,256,4,12,3000,1170 x 2532,iOS,6.1,35999
Apple,iPhone 13,256,4,12,3000,1170 x 2532,iOS,6.1,35999
Apple,iPhone 13,256,4,12,3000,1170 x 2532,iOS,6.1,35800
Infinix,Smart 6,64,3,5,4000,720 x 1600,Android,6.6,3799
Apple,iPhone 11,128,4,12,3000,828 x 1792 pixels,iOS,6.1,22500
Xiaomi,Redmi Note 11,128,4,13,4000,1080 x 2400,Android,6.4,7350
Samsung,Galaxy S22,128,8,12,3000,,Android,6.1,24499
Samsung,Galaxy S22,128,8,12,3000,,Android,6.1,23700
Samsung,Galaxy S22 Ultra,256,12,40,4000,,Android,6.8,33500
Samsung,Galaxy S22 Ultra,256,12,40,4000,,Android,6.8,33500
realme,9i,128,6,16,4000,1080 x 2412,Android,6.6,7555
Xiaomi,Redmi 9C,128,4,5,4000,720x1600,Android,6.5,5399
Apple,none,,,,,,,,12400
Samsung,A03 core,32,2,5,4000,,,,4960
Apple,IPHONE 13 PRO MAX,128,6,12,4000,,iOS,,49000
Apple,iPhone 13 Pro Max,128,6,12,4000,,,,49000
Apple,iPhone 13 Pro Max,256,,12,4000,,,,51699
Apple,none,128,,12,4000,,,,58749
Nokia,none,16,,5,2000,,,,2400
Samsung,Galaxy A03,128,4,5,4000,720 x 1600,Android,6.5,6715
Mtouch,A600,Less,,Not,Below,,Proprietary,2.4,799
iTel,It2173,Less,Less,Not,Below,,,1.7,550
iTel,It2173,Less,Less,Not,Below,,,1.7,666
Darago,D10,Less,Less,Not,1000,,Proprietary,1.7,550
Apple,Iphone 13 Pro Max,128,6,12,4000,(1284 x 2778),iOS,6.7,48000
Apple,Iphone 13 Pro Max,256,6,12,4000,(1284 x 2778),iOS,6.7,51000
Apple,Iphone 13 Pro,256,6,12,3000,(1170 x 2532),iOS,6.1,45000
Apple,Iphone 13,128,4,12,3000,(1170 x 2532),iOS,6.1,31500
Samsung,Galaxy A23,128,4,8,4000,(1080 x 2408),Android,6.6,7200
Samsung,Galaxy A23,128,4,8,4000,(1080 x 2408),Android,6.6,6899
Samsung,Galaxy A73,256,8,32,4000,(1080 x 2400),Android,6.7,21499
Samsung,Galaxy A33,128,8,13,4000,(1080 x 2400),Android,6.4,12500
Samsung,Galaxy A33,128,8,13,4000,(1080 x 2400),Android,6.4,11999
Samsung,Galaxy A33,128,8,13,4000,(1080 x 2400),Android,6.4,12500
Samsung,Galaxy A33,128,8,13,4000,(1080 x 2400),Android,6.4,13500
Huawei,Huawei Nova 9 SE,Unidentified,,Unidentified,,,,,9500
Apple,iPhone 13,128,4,12,3000,2532x1170,iOS,6.1,30500
Apple,iPhone 11,128,4,12,3000,,iOS,6.1,23500
LAVA,E5,Less,,Unidentified,1000,HD,,1.7,440
Xiaomi,Redmi 9C,128,4,5,4000,720 x 1600,Android,6.5,5399
iTel,P37,32,2,13,4000,720 x 1600,Android,6.5,3874
iTel,P37,32,2,13,4000,720 x 1600,Android,6.5,3874
iTel,P37,32,2,13,4000,720 x 1600,Android,6.5,3874
Infinix,Hot 11 Play,64,4,8,5000,1640 x 720,Android,6.8,3800
Xiaomi,Redmi 10C,64,4,5,4000,720 x 1650,Android,6.7,5099
Xiaomi,Redmi Note 11,64,4,13,4000,1080 x 2400,Android,6.4,6699
iKU,S1,Less,32,Unidentified,Below,,,1.8,530
iKU,S1,Less,32,Unidentified,Below,,,1.8,530
iKU,S1,Less,32,Unidentified,Below,,,1.8,475
iKU,S1 Mini,Less,32,Unidentified,Below,,,1.8,475
iKU,S1 Mini,Less,32,Unidentified,Below,,,1.8,450
iKU,S1 Mini,Less,32,Unidentified,Below,,,1.8,475
Xiaomi,Redmi 10C,64,4,5,4000,720 x 1650,Android,6.7,6199
Nokia,C10,16,1,5,3000,720 x 1600,Android,6.5,2799
Nokia,C10,16,1,5,3000,720 x 1600,Android,6.5,2799
Oppo,Reno7,256,8,32,4000,1080 x 2400,Android,6.4,12999
Oppo,Reno7,256,8,32,4000,1080 x 2400,Android,6.4,12999
Huawei,nova Y70,128,4,8,5000,720 x 1600,EMUI,6.7,6599
Oppo,A16K,32,3,5,4000,720 x 1600,Android,6.5,4199
Benco,E11,Unidentified,,Unidentified,1000,,,1.8,499
Oppo,Oppo A16K,64,4,5,4000,720 x 1600,Android,6.5,4897
Apple,iPhone 13 Pro Max,1,6,12,4000,1284 x 2778,iOS,6.7,57000
iKU,IKU V400,4,512,VGA,1000,,,2.4,1499
Oppo,A55,64,4,16,4000,720 x 1600 pixels,Android,6.5,7499
Apple,iPhone 11,128,4,12,3000,828 x 1792,iOS,6.1,23500
Xiaomi,Redmi 10C,128,4,5,4000,720 x 1650,Android,6.4,5475
Xiaomi,Redmi 9C,32,2,5,4000,720x1600,Android,6.5,5031
Apple,iPhone 14 Pro Max,512,6,12,4000,1290 x 2796,iOS,6.7,63000
Apple,iPhone 14 Pro Max,512,6,12,4000,1290 x 2796,iOS,6.7,63000
Apple,iPhone 14 Pro Max,512,6,12,4000,1290 x 2796,iOS,6.7,62999
Apple,iPhone 14 Pro Max,512,6,12,4000,1290 x 2796,iOS,6.7,62999
Apple,Iphone 14,256,4,12,3000,1170x2532,iOS,6.1,39000
Apple,Iphone 14,256,4,12,3000,1170x2532,iOS,6.1,41000
Oppo,A76,128,6,8,4000,720 x 1612,Android,6.5,7385
Oppo,A95,128,8,16,4000,1080 x 2400,Android,6.4,9999
Apple,iPhone 14 Pro,256,6,12,3000,1179 x 2556,iOS,6.1,48000
Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,55199
Samsung,Galaxy Z Flip 4,256,8,10,3000,1080 x 2640,Android,6.7,32888
Samsung,Galaxy Z Fold 4,256,12,4,4000,1812 x 2176,Android,7.6,51999
Samsung,Galaxy Z Flip 6,256,8,10,3000,1080 x 2640,Android,6.7,32600
Samsung,Galaxy Z Fold 4,256,12,4,4000,1812 x 2176,Android,7.6,53999
Samsung,Galaxy Z Fold 4,256,12,4,4000,1812 x 2176,Android,7.6,52000
Samsung,Galaxy A03 Core,32,2,5,4000,720 x 1600 pixels,Android,6.5,3640
Oppo,Reno 8,256,8,32,4000,1080 x 2400,Android,6.4,15000
Unitronics,UNI X1,Less,,Not,Below,128 x 160,,1.7,500
Apple,iPhone 13,128,4,Dual,3000,1170 x 2532,iOS,6.1,30299
Apple,iPhone 13,128,4,Dual,3000,1170 x 2532,iOS,6.1,30500
Apple,iPhone 13 Pro Max,256,6,Dual,3000,1284 x 277,iOS,6.7,50900
Apple,iPhone 13 Pro Max,256,6,Dual,3000,1284 x 277,iOS,6.7,51000
Apple,iPhone 13,128,4,Dual,3000,1170 x 2532,iOS,6.1,30299
Apple,iPhone 13,128,4,Dual,3000,1170 x 2532,iOS,6.1,30299
Apple,iPhone 13 Pro Max,256,6,Dual,3000,1284 x 277,iOS,6.7,47999
iTel,P38,32,2,5,4000,720x1612,Android,6.6,3099
Infinix,Hot 11 Play,64,4,8,5000,720 x 1640,Android,6.8,4199
iKU,X4,64,4,5,3000,1560X720,Android,6.4,4199
iKU,X4,64,4,5,3000,1560X720,Android,6.4,4199
iKU,X4,64,2,5,3000,1560X720,Android,6.4,4199
Blackview,A55 Pro,64,4,5,4000,720X1600,Android,6.5,7499
Blackview,A55 Pro,64,4,5,4000,720X1600,Android,6.5,7499
Blackview,A55,16,3,5,4000,720X1600,Android,6.5,6499
Blackview,A55,16,3,5,4000,720X1600,Android,6.5,6499
Blackview,A55,16,3,5,4000,720X1600,Android,6.5,6499
Blackview,A55,16,3,5,4000,720X1600,Android,6.5,6499
Blackview,A50,64,3,5,4000,720X1560,Android,6.1,6799
Blackview,A50,64,3,5,4000,720X1560,Android,6.1,6799
Blackview,Tab 6,32,3,2,5000,720X1560,Android,8,7500
Blackview,A80 Plus,64,4,8,4000,720X1560 pixels,Android,6.4,7499
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Samsung,Galaxy A13,128,4,8,4000,1080 x 2408,Android,6.6,6399
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Blackview,A100,128,6,8,4000,1080X2400,Android,6.6,7999
Samsung,Galaxy A13,128,4,8,4000,1080 x 2408,Android,6.6,6399
Xiaomi,9C,64,3,5,4000,720 x 1600 pixels,Android,6.5,4699
Xiaomi,none,Unidentified,,Unidentified,,,,,6275
realme,C11 2021,64,4,5,4000,720 x 1600,Android,6.5,5999
realme,C30s,64,4,5,4000,720 x 1600,Android,6.5,3257
Xiaomi,Redmi 10 2022,128,4,8,4000,1080 × 2400,Android,6.5,8200
Xiaomi,Redmi 10A,64,3,5,4000,720 x 1600,Android,6.5,4520
Xiaomi,Redmi 9C,64,3,5,4000,720 x 1600,Android,6.5,4499
Oppo,A76,128,4,8,4000,720 x 1612,Android,6.5,6499
Xiaomi,Redmi A1 Plus,32,2,5,4000,720 x 1600,Android,6.52,3840
Infinix,Smart 6 Plus,64,2,5,4000,720 x 1600,Android,6.8,4080
realme,C35 2022,128,4,8,4000,1080 x 2408,Android,6.6,7249
Apple,MK2L3AB-A,64,3,12,8001-9000mAh,,iOS,10.2,17777
Apple,MK4E3AB-A,256,3,12,8001-9000mAh,,iOS,10.2,31900
Apple,IPhone 14 Plus,256,6,12,4000,1284 x 2778,iOS,6.7,42500
Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,53000
Apple,IPhone 14 Pro Max,128,6,12,4000,1290 x 2796,iOS,6.7,51000
Nokia,105,Less,Less,Unidentified,Below,,,1.8,525
Nokia,5310,Less,Less,Not,1000,240 x 320,,2.4,1299
Samsung,Galaxy A13,128,4,8,4000,1080 x 2408,Android,6.6,6300
Samsung,Galaxy A13,64,4,8,4000,1080 x 2408,Android,6.6,5999
Samsung,Galaxy A23,128,4,8,4000,1080 x 2408,Android,6.6,7000
Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2777
Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2680
Samsung,Galaxy S22 Ultra,256,12,40,4000,1440 x 3088,Android,6.8,33000
Samsung,Galaxy Z Fold4,256,12,4,4000,1812 x 2176,Android,7.6,52000
Google,Pixel 7 Pro,128,12,10.8,4000,1440 x 3120,Android,6.7,31999
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,31000
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,31500
Samsung,Galaxy S22 Ultra,256,12,40,4000,1440 x 3088,Android,6.8,36699
Honor,50,128,6,32,4000,1080 x 2340 pixels,Android,6.5,11299
Blackview,A90,64,4,8,4000,720 x 1560,Android,6.3,7499
Blackview,A90,64,4,8,4000,720 x 1560,Android,6.3,7499
Blackview,A90,64,4,8,4000,720 x 1560,Android,6.3,7499
Blackview,A80s,64,4,5,4000,720 x 1520,Android,6.2,7499
Blackview,A80s,64,4,5,4000,720 x 1520,Android,6.2,7499
Blackview,A80,16,2,5,4000,720 x 1520,Android,6.2,5999
Blackview,A80,16,2,5,4000,720 x 1520,Android,6.2,5999
Blackview,A70 Pro,32,4,5,5000,720 x 1600,Android,6.5,6999
Blackview,A70 Pro,32,4,5,5000,720 x 1600,Android,6.5,6999
Blackview,A70 Pro,32,4,5,5000,720 x 1600,Android,6.5,6999
Benco,C25,Less,,Not,1000,,Android,2.4,680
Benco,E20,32,,Unidentified,1000,,,2.4,777
Benco,C25,Less,,Unidentified,1000,,,2.4,680
Oppo,Find X5 Lite,256,8,32,4000,1080 x 2400,Android,6.4,15999
Samsung,Galaxy Note 10+,256,12,10,4000,1440 x 3040,Android,6.8,19999
Samsung,Galaxy S21 Ultra,256,12,40,4000,1440 x 3200,Android,6.8,27999
Samsung,Galaxy Z Fold 4,256,12,10,4000,1812 x 2176,Android,7.6,53000
Infinix,Smart 6 Plus,64,3,5,4000,720 x 1600,Android,6.8,3865
Infinix,Smart 6 Plus,64,3,5,4000,720 x 1600,Android,6.8,3749
Infinix,Smart 6 Plus,64,3,5,4000,720 x 1600,Android,6.8,3720
realme,C30s,64,4,5,4000,720 x 1600,Android,6.5,4920
realme,C30s,32,2,5,4000,720 x 1600,Android,6.5,3838
realme,C30,32,2,5,4000,720 x 1600,Android,6.5,3720
realme,C30,32,2,5,4000,720 x 1600,Android,6.5,3720
Honor,Honor 70,256,8,32,4000,"1080 x 2400 pixels, 20:9 ratio",Android,,21500
realme,C25Y,128,4,8,4000,720 x 1600,Android,6.5,4955
Samsung,Galaxy S23 Ultra,256,8,12,4000,1440 x 3088 pixels,Android,6.8,40000
Samsung,Galaxy S23 Ultra,512,12,12,4000,1440 x 3088 pixels,Android,6.8,60000
Samsung,Galaxy S23 Ultra,512,12,12,4000,1440 x 3088 pixels,Android,6.8,60000
Samsung,Galaxy S23 Ultra,512,12,12,4000,1440 x 3088 pixels,Android,6.8,60000
Samsung,Galaxy S23 Ultra,256,8,12,4000,1440 x 3088 pixels,Android,6.8,48000
Samsung,Galaxy S23 Ultra,256,8,12,4000,1440 x 3088 pixels,Android,6.8,49000
Samsung,Galaxy S23 Ultra,256,8,12,4000,1440 x 3088 pixels,Android,6.8,50000
Samsung,Galaxy S23 Ultra,256,12,12,4000,1440 x 3088 pixels,Android,6.8,44999
Samsung,Galaxy S23 Ultra,256,12,12,4000,1440 x 3088 pixels,Android,6.8,40000
Samsung,Galaxy S23 Ultra,256,12,12,4000,1440 x 3088 pixels,Android,6.8,50000
Samsung,Galaxy S23 Ultra,512,12,12,4000,1440 x 3088 pixels,Android,6.8,60000
Samsung,Galaxy S23,128,8,12,3000,1080 x 2340 pixels,Android,6.1,32000
Samsung,Galaxy S23,512,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23,512,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23,512,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23,128,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23,128,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23,256,8,12,3000,1080 x 2340 pixels,Android,6.1,35000
Samsung,Galaxy S23,256,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23,256,8,12,3000,1080 x 2340 pixels,Android,6.1,36000
Samsung,Galaxy S23,256,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23,512,8,12,3000,1080 x 2340 pixels,Android,6.1,60000
Samsung,Galaxy S23 Plus,256,8,12,4000,1080 x 2340 pixels,Android,6.6,50000
Samsung,Galaxy S23 Plus,256,8,12,4000,1080 x 2340 pixels,Android,6.6,60000
Samsung,Galaxy S23 Plus,256,8,12,4000,1080 x 2340 pixels,Android,6.6,60000
Samsung,Galaxy S23 Plus,256,8,12,4000,1080 x 2340 pixels,Android,6.6,60000
Samsung,Galaxy S23 Plus,512,8,12,4000,1080 x 2340 pixels,Android,6.6,60000
Samsung,Galaxy S23 Plus,512,8,12,4000,1080 x 2340 pixels,Android,6.6,60000
Samsung,Galaxy S23 Plus,512,8,12,4000,1080 x 2340 pixels,Android,6.6,60000
Samsung,Galaxy S23 Plus,512,8,12,4000,1080 x 2340 pixels,Android,6.6,60000
Infinix,Hot 20i,128,4,8,4000,720 x 1612,Android,6.6,4945
Infinix,Hot 20i,128,4,8,4000,720 x 1612,Android,6.6,4700
Infinix,Hot 20i,64,4,8,4000,720 x 1612,Android,6.6,4099
